Normal;Fire;Water;Electric;Grass;Ice;Fighting;Poison;Ground;Flying;Psychic;Bug;Rock;Ghost;Dragon;Dark;Steel;Fairy
Normal;Ghost;Fighting
Fire;Fire,Grass,Ice,Bug,Steel,Fairy;Water,Ground,Rock
Water;Fire,Water,Ice,Steel;Electric,Grass
Electric;Electric,Flying,Steel;Ground
Grass;Water,Electric,Grass,Ground;Fire,Ice,Poison,Flying,Bug
Ice;Ice;Fire,Rock,Steel,Fighting
Fighting;Bug,Rock,Dark;Flying,Psychic,Fairy
Poison;Grass,Fighting,Poison,Bug,Fairy;Ground,Psychic
Ground;Poison,Rock,Electric;Water,Grass,Ice
Flying;Fighting,Ground,Bug,Grass;Rock,Electric,Ice
Psychic;Fighting,Psychic;Bug,Ghost,Dark
Bug;Fighting,Ground,Grass;Flying,Rock,Fire
Rock;Normal,Flying,Poison,Fire;Ground,Fighting,Steel,Water,Grass
Ghost;Normal,Fighting,Poison,Bug;Ghost,Dark
Dragon;Fire,Water,Grass,Electric;Ice,Dragon,Fairy
Dark;Ghost,Psychic,Dark;Fighting,Bug,Fairy
Steel;Normal,Flying,Poison,Rock,Bug,Steel,Grass,Psychic,Ice,Dragon,Fairy;Fighting,Ground,Fire
Fairy;Fighting,Bug,Dragon,Dark;Poison,Steel
